Name der Klinik;Bewertung;Datum der Bewertung;Sternebewertung;Likes
Klinikum Wolfsburg in Wolfsburg;Station G5B unhöflich und genervt. 2x leider dort schon stationär gelegen. Das nächste Mal geht's in die Uniklinik Magdeburg. Die haben Ahnung und operieren das was auch gemacht werden soll und nicht das was wob Klinikum möchte.;vor einem Jahr;1;4
Klinikum Wolfsburg in Wolfsburg;Sehr gut;vor 7 Monaten;5;Keine
Klinikum Wolfsburg in Wolfsburg;"Wir waren 2019 zur Entbindung und als Notfall mit unserem 9 Wochen alten Sohn im Krankenhaus Wolfsburg und sehr zufrieden.

Besonders Kinderärztin Dr. Howold, Schwester Mandy J. von der Notaufnahme, die Krankenschwestern und Pflegerinnen auf der G4A und die Ärzte der Kindernotfallaufnahme sind uns sehr positiv und kompetent in Erinnerung geblieben. Wir würden das Krankenhaus jederzeit
weiterempfehlen.";vor einem Jahr;4;5
Klinikum Wolfsburg in Wolfsburg;Musste am Freitag in der Nacht noch in die Notaufnahme gebracht werden und wurde dort an der Anmeldung sehr unfreundlich empfangen und auch behandelt...eine Frau (Schwester Hartmann) hat ein keines Blickes gewürdigt...völlig schlecht gelaunt wurde man dort abgefertigt...einfach nur traurig sowas!!!...manche Leute haben echt dort Ihren Job verfehlt...;vor einem Jahr;1;7
Klinikum Wolfsburg in Wolfsburg;Sind mit einer Notfall Einweisung  auf der E2 , nach 15 min warten ins Behandlung  Zimmer,  Blutdruck, und Fieber gemessen, Urin abgeben, war laut Schwester nur einer vor uns. 2 Stunden später immer noch warten, weitere 2 Stunden, der Arzt  kommt gleich,  obwohl der die ganze Zeit  rein und raus ist. Müsste mein anderen Termin  schon absagen, dann um 14 Uhr kam kurz der Oberarzt,  mein sohn sollte  sein Kopf bewegen,  dann geht's dir gut, dann ich komme gleich wieder, nach über eine Stunde, sind wir gegangen, 5 Stunden für nichts,  und obwohl  wir eine NOTFALL Einweisung  hatten. Von 10 - 15 Uhr.;vor 2 Jahren;1;2
Klinikum Wolfsburg in Wolfsburg;"Keinerlei Kommunikation zwischen Arzt und Patient. Kaum Untersuchungen und trotzdem meinen die Ärzte, einen mit Medikamenten voll zu stopfen, dabei wird dem Patienten nicht mitgeteilt, wofür.
Auf den Wunsch, bitte auf Tabletten umzusteigen, wird nur pampig reagiert. Das Medikament würde sonst nicht richtig wirken.
Vor 4 Tagen machte ich selber den Vorschlag, dass sich ein Hautarzt das bitte ansieht. Bisher nichts passiert.
Muss also davon ausgehen, hier arbeitet immer nur ein Arzt gleichzeitig im Krankenhaus.

Die Schwestern auf Station sind entweder super nett oder das komplette Gegenteil, machen aber wenigstens alle ihre Arbeit sehr gut.

Werde mich wohl wieder selbst entlassen müssen, denn diese Umgebung macht einen nicht gesund.";vor einem Jahr;1;8
Klinikum Wolfsburg in Wolfsburg;"Danke für die gute Betreuung in der Notaufnahme. Alle sehr freundlich, jeder hilft so schnell es geht. Wirkt sehr kompetent.
Wir haben uns gut aufgehoben gefühlt.
Danke und viel Erfolg Für das neue Jahr!";vor 2 Jahren;5;5
Klinikum Wolfsburg in Wolfsburg;Ich war auf der Station G5a zur Augen-Op und fühlte mich bestens aufgehoben! Trotz dem alltäglichen Wahnsinn für das Pflegepersonal waren alle jederzeit ansprechbar und freundlich. Auch im Op-Bereich sehr nettes Personal! Essen war lecker und reichlich. Was unbedingt zu verbessern wäre sind die Betten...... da gibt es inzwischen definitiv Moderneres :));vor einem Jahr;5;1
Klinikum Wolfsburg in Wolfsburg;Es war ein netter Aufenthalt gewesen, wobei ich auch exzellent die Kollegen besuchen konnte. Die Schwestern waren nett und hilfsbereit. Auch die Ärzte sind kompetent. Das Essen hat sich von der Auswahl in den letzten Jahren gebessert.;vor 2 Jahren;5;9
Klinikum Wolfsburg in Wolfsburg;"Ich hab mich im Klinikum Wolfsburg total vergessen gefühlt. Früh morgens bin ich dort angekommen und dann wurde ich in einen Raum gesetzt mit den Worten ""Kleinen Moment"". Dieser kleine Moment hat sich dann auf 3 Stunden gestreckt! In diesen 3 Stunden kamen immer mal Schwestern rein, aber nur, um ein Gerät zu benutzen. Als würde ich garnicht da sein. Irgendwann bin ich einfach gegangen.. Also da fahre ich lieber ein bisschen länger, muss dafür aber nicht Ewigkeiten warten.";vor einem Jahr;1;1
Klinikum Wolfsburg in Wolfsburg;"Vielen Dank an das Team der Medizinischen Klinik 2 des Klinikums Wolfsburg.  Ich habe mich sehr wohl gefühlt.  Das gesamte Personal hat einen super positiven Eindruck gemacht. Nochmal vielen Dank
Angelo Rizzo";vor einem Jahr;5;Keine
Klinikum Wolfsburg in Wolfsburg;"Ich wurde heute am 22.02.20 im Klinikum Wolfsburg von Herrn Dr. Ali behandelt. Es ging um eine Schnittverletzung an der rechten Hand. Ich wollte DR.Ali mal loben und sagen was für ein guter Arzt er ist. Ich wurde wirklich schnell in die Behandlung aufgenommen.
Ich bin Super zufrieden und wollte Danke sagen und das wir noch mehr solcher Ärzte wie Dr. Ali benötigen!!! Weiter so!!

Gruß D.G";vor einem Jahr;5;2
Klinikum Wolfsburg in Wolfsburg;Schlechtestes Krankenhaus ever. Arrogante Ärzte. Auf G3a rumschreiende Stationsleitung - unmöglicher Umgang mit Patienten. Medikamentengabe ohne ärztliche Anordnung. Personalmanagement - ungenügent;vor einem Jahr;1;3
Klinikum Wolfsburg in Wolfsburg;Hier werden jährlich Hunderte von Babys geboren und Tausende werden behandelt. Unzufriedene Patienten schreiben gern negative Rezensionen, positive Erfahrungen hingegen bleiben oft undokumentiert. Was wir im Bereich des Kreißsaals und Kinderklinik erlebt haben, ist einfach nur klasse gewesen. Sehr freundliches Personal, sie kümmern sich wirklich um Menschen. Toll.;vor einem Jahr;5;3
Klinikum Wolfsburg in Wolfsburg;Notaufnahme gar nicht empfehlenswert viel zu lange Wartezeiten war mit meinem Sohn 4,5Stunden in der Notaufnahmewegen, Arzt war bei anderen unfreundlich was mich am meisten gestört hat war die Hygiene im Flur Plus im Wartebereich Blut auf dem Boden sowas nennt man Krankenhaus geht gar nicht!;vor einem Jahr;1;2
Klinikum Wolfsburg in Wolfsburg;Gerade in der Notaufnahme gewesen und noch nie so gelacht super Arzt Dr. Ali Gruß von Marcel dem Trampolin Springer:-);vor einem Jahr;5;2
Klinikum Wolfsburg in Wolfsburg;Als ich letztes Jahr hochschwanger mit einer akuten Mittelohrentzündung nachts in der Notaufnahme eintraf, wurde sich sofort um mich gekümmert. Die Notaufnahme war nicht voll, wir mussten nicht lange warten (vielleicht 20 Minuten). Der HNO Arzt war freundlich, ich habe nichts zu bemängeln.;vor 2 Jahren;5;5
Klinikum Wolfsburg in Wolfsburg;Ich möchte einen riesengroßen Dank an die Kinderklinik geben. Diese ist in den letzten Monaten zum zu Hause meiner Zwillinge und mir geworden. Dank der großartigen Betreuung von den Schwestern und Ärzten habe ich mich schnell auch fast wie zu Hause gefühlt. Professor Sinnecker konnte mir durch seine emphatische Art und all das im Hintergrund spürbare Fachwissen viel Sicherheit zurückgeben. Vielen vielen Dank an das ganze Team!;vor einem Jahr;5;3
Klinikum Wolfsburg in Wolfsburg;Als Krebspatient hat man hier verloren. Man wird immer wieder vertröstet, jeder Arzt sagt was anderes und es geht nicht voran. Und das seit zwei Jahren! Man sitzt, trotz Termin, Stunden in der HNO und wartet darauf, letztlich nur wieder einen nächsten Termin zu bekommen!;vor 2 Jahren;1;3
Klinikum Wolfsburg in Wolfsburg;Mein mann war im krankenhaus und wurde von einen oberarzt so dermaßen gemobbt bis zum.dorthinaus... heute kriege ich einen Anruf mein mann wird entlassen (er kann nicht alleine gehen durch seinen rücken) die behandeln ihn nicht weiter. Er solle sich nicht so anstellen und wer schmerzen sucht findet ja auch welche...genau daher sagt das MRT was ganz anderes..... nie wieder dieses klinikum;vor einem Jahr;1;3
Klinikum Wolfsburg in Wolfsburg;Auch wenn hier sehr viele negative Rezessionen zum Krankenhaus Wolfsburg geschrieben wurden, ich kann von meiner Seite nur gutes Berichten. Ich war mit Rückenschmerzen in der Notaufnahme und wurde vom Dr. Ali Fathi behandelt. Es bestand der verdacht auf Bandscheibenvorfall. Im Nachhinein war er der Arzt, der die richtige Diagnose gestellt hat. Denn es handelte sich um eine Blockade des ISG Gelenks. Er verabreichte mir eine Spritze und es ging mir zumindest kurzzeitig besser. Ein paar Tage später wurde ich trotzdem ins Krankehaus eingeliefert. Leider, da wir uns im Einzugsgebiet vom Krankenhaus Gifhorn befinden, wurde ich dorthin gebracht. Dies war somit das schlechteste, was ich bisher erlebt habe. (Nachzulesen in der Rezession vom Krankenhaus Gifhorn) - Da das KH Gifhorn eigenglich eine Woche lang gar nicht behandelt hat, ausser ein MRT zu machen. (Betten müssen ja belegt sein) schickte ich meine Frau mit den Bildern nach Wolfsburg, wo wieder Dr. Ali Fathi die Bilder zu Gesicht bekam. Da auf den Bildern zwar ein Bandscheibenvorfall zu sehen war ( Er war schon länger her, es war auch durch die Fehlhaltung die Ursache für die Blockade des ISG) organisierte er gleich meine Aufnahme in Wofsburg und ich ließ mich auf eigene Kosten nach WOB verlegen. Als ich dort ankam untersuchte mich dort sofort (es ging wirklich sehr schnell) Dr. Nordhaus, erkannte den Bandscheibenvorfall und nahm mich stationär auf. Die medizinische sowie auch menschliche Versorgung war hervorragend. Nach meinen negativen Erlebnissen in GF kann ich nur sagen, herzlichen Dank an alle Ärzte und Schwestern - ihr macht einen tollen Job - weiter so! Nach einer Woche wurde ich entlassen - es wurde bei mir eine PRT gemacht, wonach es auch schon besser ging. Inzwischen bin  ich wieder weitgehend hergestellt und kann auch wieder arbeiten und am normalen Leben wieder teilnehmen. Auch  muss ich bemerken, die Organisation in Notaufnahme ist hervorragend, wenn man wirklich ernsthafte Schmerzen hat, hat man so gut wie keine Wartezeit und wird sehr schnell schmerztechnisch behandelt, so dass es erstmal ertäglicher wird. Fazit: Ich würde jederzeit wieder ins Krankenhaus WOB gehen. Nochmals herzlichen Dank an Dr. Ali Fathi und seine Kollegen, ich bin wirklich super versorgt worden. :-);vor einem Jahr;5;2
Klinikum Wolfsburg in Wolfsburg;"Wir sind am 2.7.18 als privat Patient in die Klinik gekommen kein privat Zimmer und im Kreißsaal unfreundliches Personal bis eine tunesische Hebamme kam alle waren unfreundlich außer sie ich habe ihr gesagt ob es normal wäre das es unter uns ein Umbau statt findet was sehr laut ist und wo sie bohren usw da sprach eine andere Hebamme rein und sagte wir haben kein anderes Zimmer kein anderes Bett usw ??????????lächerlich
Als privat Patient !sehr schlechtes Krankenhaus alle nur ein aufgesetztes lachen schade das Menschen sich selbst zwingen zu arbeiten wo andere doch so gerne so ein Job hätten";vor 2 Jahren;1;8
Klinikum Wolfsburg in Wolfsburg;Vielen Dank an das Klinikum Wolfsburg, Notaufnahme super Arbeit. Ein besonderer Dank an die Station H1 b, super nett, engagiert, ob Schwestern, Pfleger oder Ärzteteam.....macht weiter so.;vor 2 Jahren;5;3
Klinikum Wolfsburg in Wolfsburg;Sehr lange warte Zeiten und die Mitarbeiter alle unfreundlich und unmotiviert am besten alle kündigen und neu aufstellen. Nicht zum empfehlen.;vor einem Jahr;1;2
Klinikum Wolfsburg in Wolfsburg;Hatten 11.45 Uhr einen Termin in der HNO Abteilung,mittlerweile ist es 14.24 Uhr und wir sind immernoch nicht dran!!!! Das Wartezimmer ist leer und wir sitzen noch!!!! Auf unser Fragen heißt es nur,wir rufen die Ärztin an. Ja,wo ist sie denn????? Drecksladen und sehr unfreundlich!!!!;vor 2 Jahren;1;4
Klinikum Wolfsburg in Wolfsburg;"Sehr schlecht. Ärtze gehen nicht auf Beschwerden ein und schicken einen Weg ohne Diagnose gestellt zu haben.
Ganz einfache Massenabfertigung.";vor 2 Jahren;1;4
Klinikum Wolfsburg in Wolfsburg;"Sehr professionell und Handlungsschnell.
Saubere Zimmer mit Tv";vor einem Jahr;5;Keine
Klinikum Wolfsburg in Wolfsburg;Keinen Respekt, und es wird kein Wert auf Datenschutz gelegt.;vor einem Jahr;1;2
Klinikum Wolfsburg in Wolfsburg;"Ich bin über Himmelfahrt mit dem Notarzt mit Verdacht auf Blinddarmentzündung in die Notaufnahme eingeliefert worden.

Die Behandlung sowohl in der zentralen Notaufnahme, als auch auf der Station H4a war schnell und professionell. Auch die sonographischen Untersuchungen wurden mit größter Sorgfalt durchgeführt und die Befunde ausführlich und verständlich besprochen. Es wurde auch gleich ""Drumherum"" geschaut, ob alles in Ordnung ist und meine Leber hat noch einen Extra-Check mit Kontrastmittel bekommen - dafür hätte ich sonst nochmal extra zum Internisten gehen müssen.

Das Personal war durchgehend freundlich und bemüht um mein Wohlergehen. Alle Ärzte / Ärztinnen und das Pflegepersonal haben sich viel Zeit genommen und sich auch mal kurz hingesetzt und geplaudert. Die Ausstattung erscheint mir als Laien modern und das Krankenhaus ist übergreifend sehr sauber. Als Draufgabe habe ich als Kassenpatient ein tolles Einzelzimmer bekommen - ruhig, modern, mit eigenem WC/Dusche und ebenfalls sauber.

Ich wurde nach einem Tag entlassen, erleichtert um Nierensteine und weiterhin mit Blinddarm, der sich als unschuldig herausgestellt hat.

Niemand wird gern krank, aber auf Basis meiner Erfahrung empfehle ich das Klinikum Wolfsburg für den Fall der Fälle. Ich danke für die super Behandlung.";vor 2 Jahren;5;5
Klinikum Wolfsburg in Wolfsburg;"Meine Freundin war jetzt schon öfter zu Gast in diesem Krankenhaus aber nicht wegen diverser Krankheitsfällen sondern einer verpfuschten op von der es nicht mal einen op Bericht gab ( zertrümmerte Hand ) Jeder Arzt sagt hier etwas anderes ( ihre Worte ). Sie sagt selbst hier wird nicht nach der Ursache geforscht sondern mit Medikamenten abgefertigt.
Ps: Personal ist nicht gerade das freundlichste:
Meine Freundin fragte dann lediglich nach einem Pflaster für ihre braunüle darauf hin kam die Antwort : mit 21 nicht mal bisschen Blut sehen können aber sowas darf Auto fahren und wählen.
Was ist das für ein Umgang ?";vor einem Jahr;1;1
Klinikum Wolfsburg in Wolfsburg;"Damals bei der Nasen op schon schlechte Erfahrungen gemacht, jetzt leider wieder.
Überfordertes Personal und leider wird sich sehr wenig Zeit für einen genommen. Sehr hellhörig alles";vor 2 Jahren;1;2
Klinikum Wolfsburg in Wolfsburg;Dieser Ort darf sich nicht Krankenhaus nennen!! Waren für einen Städtetripp in der Nähe von Wolfsburg. Meine Freundin hatte starke Kreislaufprobleme und sah Sterne vor den Augen. Der hinzugerufene Notarzt gab ihr daraufhin Tavor!!! Komplett falsches Medikament. Im Krankenhaus angekommen bekam meine Freundin Halluzinationen und wurde einfach im Flur alleine gelassen. Das ganze wird noch rechtliche Konsequenzen haben, habe sie dann in ein anderes Krankenhaus gefahren!;vor einem Jahr;1;6
Klinikum Wolfsburg in Wolfsburg;"Ich lag nun 2 Wochen auf der H3b und ich möchte mich auf diesem Wege nochmal bei allen Mitarbeitern dort auf der Station bedanken.
Ihr seid wirklich ein sehr liebes und hilfreiches Team.
Trotz stressiger Situationen seid ihr ruhig und immer freundlich geblieben.
Ich ziehe echt den Hut vor euch und wünschte mir, dass die Patienten, die immer wieder nur was zu meckern haben, endlich mal eine andere Sicht eurer Arbeit bekommen.
Ich habe mich bei euch sehr wohl gefühlt.
Die OP ist auch top gelaufen und ich würde dieses Krankenhaus zu 100% weiterempfehlen ????";vor 2 Jahren;5;5
Klinikum Wolfsburg in Wolfsburg;"- Falsche Diagnose im Entlassungsbrief
- Schlechte Kommunikation zwischen Patient, Krankenschwester und Arzt
- Es herscht eine Atmosphäre aus Lustlosigkeit, fehlender Motivation und Überforderung (Notaufnahme und Onkologie)
- Chaotische und wiedersprüchige Entscheidungen und Aussagen
- Man fühlt sich nicht wie ein Patient, sondern Ware die abgearbeitet wird.";vor einem Jahr;1;4
Klinikum Wolfsburg in Wolfsburg;Der Kerl am  Empfang war ganz lustig. Das Essen ist ein wenig eintönig.;vor einem Jahr;4;Keine
Klinikum Wolfsburg in Wolfsburg;"Lassen einen unter starken Augenschmerzen nach Braunschweig fahren. Null hilfe.

-- Nasenoperation -- Schief gelaufen keine gerade Nase bei einer späteren operation keine Kurranz, keine begradigung, durch die zweite Operation Nasel Drip Syndrom.
Kein MRT des Bereiches also Komplettes ignorieren der Kiefernhöhlen entzündung.

Also Kind  gescheiterte Leistenoperation.";vor einem Jahr;1;2
Klinikum Wolfsburg in Wolfsburg;Super Ärzte und Schwestern, die sich auch mal Zeit für einen nehmen, wenn man genauere Fragen hat. Finde ich sehr gut. (Y);vor 3 Jahren;5;2
Klinikum Wolfsburg in Wolfsburg;Dem Klinikum Wolfsburg kann man aber mal nix positives abgewinnen! Ärzte unqualifiziert, wenig bis garnicht aussagefähig. Im schlimmsten Fall werden Partienden oder Angehörige sitzen gelassen, mit dem Vorwand es gab einen Notfall abgefertigt und die Schwestern müssen dieses Fernbleiben noch rechtfertigen. Kann nur raten sich wo anderes Hilfe zu suchen!!!!!;vor 3 Jahren;1;6
Klinikum Wolfsburg in Wolfsburg;"Nicht genug Parkplätze es ist eine Schande. Ein absolutes Chaos vor Ort!!!!
Am 29.10.2019 wieder im Klinikum gewesen. Es hat sich einiges getan ....siehe da man hat wirklich Parkplätze geschaffen";vor einem Jahr;3;3
Klinikum Wolfsburg in Wolfsburg;Ich bin öfter im Klinikum . Aus Familiären Gründen . Und ich muss sagen das ich das Personal sehr freundliche finde . Wenn man bedenkt das sie oft unterbesetzt sind und eine Menge zu tun haben . Respekt für die Arbeit die sie verrichten .??;vor 3 Jahren;4;1
Klinikum Wolfsburg in Wolfsburg;"Mein Verlobter wurde mit einem Nierenstein vom Krankenwagen ins Klinikum gebracht. Ich bin direkt von der Arbeit hinterher. Als ich dort war, wusste keiner von ihm obwohl er schon in der Urologie war.
Vom CT kam er einfach nicht wieder und erst als wir nachfragten ging die Suche nach ihm los. Er wurde einfach über eine Stunde ohne Schmerzmittel im Gang unten vergessen und nicht gehört.
Die Schwestern waren von super freundlich bis zur Furie vertreten. Es gab absolut keine Erklärungen über irgendwas ! Ist der Stein noch drin ? Wurde eine Schiene gesetzt ? Gab es Komplikationen ? Keine Antwort..... Beim Urologen wurde dann sichtbar, dass der Stein noch drin war und eine Schiene gesetzt wurde. Am Anfang für uns völlig unverständlich aber nach einer kurzen Erklärung in einem anderen Krankenhaus waren wir bestens aufgeklärt.
Jetzt wo wir den Vergleich vom Magdeburger zum Wolfsburger Krankenhaus haben, kann man nur sagen in Wolfsburg geht es wie beim Schlachter zu.
Ich würde nie wieder freiwillig in dieses Krankenhaus gehen !
Absolute Mistbude!";vor einem Jahr;1;5
Klinikum Wolfsburg in Wolfsburg;"Alles andere als eine schöne Geburt!

Ich hatte schon 3 Tage lang Wehen und würde jedesmal wieder nachhause geschickt. Sonntags um 4 Uhr Morgens hatte ich dann so heftige Schmerzen das ich meinen Mann gebeten habe mich ins Krankenhaus zu fahren. Dort angekommen wurde bei der Untersuchung festgestellt das mein Muttermund schon 7 cm offen ist und ich kein Fruchtwasser mehr habe. Wurde dann in den Kreissal gebracht und habe Schmerzmittel bekommen damit ich etwas schlafen kann. Um 11 Uhr war mein Muttermund dann komplett offen und ich habe zusätzlich einen Wehentropf bekommen. Man wurde alleine gelassen, ständig kam neues Personal rein, auf Wünsche wurde nicht eingegangen! Nach 12 Stunden Wehen kam meine kleine endlich zur Welt , aber auch nur weil die Herztöne abgefallen sind, sonst hätte ich da Wahrscheinlich noch länger gelegen. Eine der Schwester und der Arzt sind mir auf den Bauch gesprungen und haben mein kind nach unten gedrückt ( ich dachte mir brechen alle Knochen!) und meine Kleine wurde mit einer Saugglocke geholt + Dammschnitt den ich bekommen habe.
Nach der Geburt hat man auch keine Ruhe, weil die Sxhwestern einen so auf die Nerven gehen das man doch endlich stillen soll und man immer anlegen soll. Durch diesen ganzen Druck und Stress hatte ich natürlich keinen Milcheinschuss und ich musste meine kleine das Fläschen geben ( Milch und Flasche hat mein Mann von zuhause mitgenommen, weil man da nichts bekommen und die darauf bestehen das man Still egal ob es klappt oder nicht) Die Zimmer waren Katastrophal, total klein und Stickig. Vom Essen will ich erst gar nicht anfangen. Ich werde nie wieder in dieses Krankenhaus gehen !!! Eigentlich sollte man eine schöne Erinnerung an die Geburt haben, aber dank dem Klinikum Wolfsburg habe ich ein Trauma und Angst davor ein 2. Kind zu bekommen!!!";vor einem Jahr;1;3
Klinikum Wolfsburg in Wolfsburg;Ich kann über unser Klinikum nur Gutes berichten - und dies ganz speziell über die Bereiche innere Medizinische Klinik II, AMO, HNO, die chirurgische Tagesklinik und die Notaufnahme. Die Ärzte sind kompetent, das Personal ist freundlich und hilfsbereit und die Termine werden schnell und zügig vergeben. Auch kann ich die häufige Kritik an der Notaufnahme überhaupt nicht nachvollziehen. Echte Notfälle werden hier meiner Ansicht nach sofort behandelt. Wer mit einer Grippe sonntags in die Notaufnahme fährt, sollte eigentlich wissen, dass es dann etwas dauern kann, bis man an der Reihe ist. Auch das Essen ist viel besser als immer erzählt wird. Lediglich fehlen einige Parkplätze für Personal, Patienten und Besucher. Andere Kliniken der Region in Niedersachsen oder Sachsen-Anhalt können mit dem Niveau des Wolfsburger Klinikums insgesamt nicht Schritt halten. Deshalb und aus den zuvor genannten Gründen 5 Sterne!;vor 2 Jahren;5;6
Klinikum Wolfsburg in Wolfsburg;"[Bearbeitet]
Ich war vor kurzem in der Notaufnahme wegen meines Schwindels und Kribbel Gefühls im linken Arm sowie Gesicht. Der Neurologe der mich behandelt hat war sowohl menschlich als auch fachlich für sein junges Alter äußerst kompetent. Entgegen der Erwartung ein schlecht-deutsch-sprechenden Arzt anzutreffen war ich sehr froh, dass mich ein akzentfreier Arzt behandelt hat. In solchen emotionalen Lagen ist es nicht einfach jemanden sein Leiden mitzuteilen, der die Sprache nur gebrochen oder im medizinischen Fachchinesisch beherrscht. Vielen Dank an Herrn Popovico.

Den schlechten Ruf der Notaufnahme kann ich seitens der Fachkräfte nicht bestätigen. Ich habe mitbekommen, dass im Wartezimmer zwei junge Männer mit Kopfschmerzen saßen. Diese wurden mit Schmerzmitteln nach Hause geschickt. Die Patienten machen den Ruf schlecht. Wenn ich mit Migräne oder Schnupfen zur Notaufnahme eile, kann ich keine ernstzunehmende Behandlung erwarten.";vor 2 Jahren;5;7
Klinikum Wolfsburg in Wolfsburg;"Lag auf der G4b

In Ausnahmefällen 2 schwestern Freundlich, ansonsten alle gleich Ärzte Hebammen usw , da hat man gemerkt das keiner Lust auf die Arbeit hat.";vor 2 Jahren;1;8
Klinikum Wolfsburg in Wolfsburg;die beste Klinik für behinderte Kinder;vor einem Jahr;5;1
Klinikum Wolfsburg in Wolfsburg;Da ich auf Schulung in Wolfsburg war und durch ein taubes Bein nicht mehr gehen konnte wurde ich im Klinikum Wolfsburg in der Notaufnahme vorstellig. Selten so freundliche Krankehausmitarbeiter erlebt. Von der Annahme bis hin zum behandelten Arzt. Der behandelte Arzt war in diesem Fall Dr. Ralf Klemm, ich kann es nicht anders ausdrücken... einfach eine coole Socke mit höchster Kompetenz. Bitte dieses Lob weiter geben und inmer weiter so machen.;vor 2 Jahren;5;3
Klinikum Wolfsburg in Wolfsburg;Total unfreundlich schon am Empfang. Keiner weiß was der andere macht !;vor 2 Jahren;1;6
Klinikum Wolfsburg in Wolfsburg;"Kann mich den schlechten Bewertungen hier überhaupt nicht anschließen. Die Ärzte sowie Krankenschwester sind äußerst nett und umgänglich und gehen soweit wie möglich auf die Patientenwünsche ein. Na gut, ist wahrscheinlich auch von Station zu Station unterschiedlich. Ich lag in Neurologie, obwohl ich Magen-Darm Erkrankung hatte. Wie ich erklärt bekommen habe, hing das mit Platzmangel in der jew. Station zusammen. Das spricht in meinem Augen für Flexibilität und Anpassungsfähigkeit des Klinikums!
Vielen Dank für die professionelle und kompetente Behandlung!";vor 3 Jahren;5;8
Klinikum Wolfsburg in Wolfsburg;"Die Behandlung in der Notaufnahme war ok, die Wartezeit mit 1,5 Stunden im Rahmen. Allerdings Katastrophe bei den Parkplätzen - nichts frei und jetzt noch ein Knöllchen, obwohl kein Halteverbot ersichtlich. Wo soll man denn parken mit verletztem Kind???
Nur wenige Parkplätze oder Mitarbeiterparkplätze vorhanden...";vor 2 Jahren;2;4
Klinikum Wolfsburg in Wolfsburg;"Auf der G3B gibt es 1-2 Schwestern die absolut unfreundlich sind. Kommen ins Zimmer rein und legen eine Art an den Tag die einfach nur ne Frechheit ist. Sie motzen Leute grundlos an. Die anderen Schwestern und Pfleger dagegen sind ganz nett. Medizinisch auch in Ordnung. Ärzte jedoch teilweise überfordert. Keiner weiß so richtig was ein anderer vor hatte oder diagnostiziert hatte. Oftmals muss man dort den Ärzten selbst erklären was zutun ist.

Fazit: ein Krankenhaus in dem die Behandlung in Ordnung ist aber mehr auch nicht. Wohl hab ich mich dort nicht gefühlt. Gibt bessere Krankenhäuser in Niedersachsen.";vor 3 Jahren;3;Keine
Klinikum Wolfsburg in Wolfsburg;Viel zu hohe Parkgebühren. Habe für 1,5 Std  10 Euro bezahlt. Echt heftig;vor 3 Jahren;1;8
Klinikum Wolfsburg in Wolfsburg;War zwar nur eine Nacht hier, möchte mich bei den Schwestern und Ärzten für die kompetente Behandlung auf der Urologie Station recht herzlich bedanken.;vor 2 Jahren;5;3
Klinikum Wolfsburg in Wolfsburg;Sehr lange Wartezeiten, bei fast keinen Patienten in der Notaufnahme!!!! Service unter aller Sau .... Personal ist lieber eine rauchen !!!! Ausstattung naja , wohl eher eine Baustelle;vor 2 Jahren;1;6
Klinikum Wolfsburg in Wolfsburg;"Schrott Krankenhaus !!! Ärzte einfach nur Idioten, die keine Ahnung haben von deren Beruf. Die Idioten stellen Sie als Ärzte vor, aber es sind Assistensärzte. Entbindet niemals eure Kinder in dem Krankenhaus, die bringen euch die um, ich rede aus eigener Erfahrung. Und wenn ihr was mit den Augen habt und ihr am verrecken seit, dann schicken die euch nach Braunschweig, weil die deppen kein Augenarzt haben. Und hatte schon eine Wartezeit in der Notaufnahme von 8 Std bei einem Autounfall. Super ihr vollidioten, dümmstes Krankenhaus, leider nur ein Krankenhaus hier.
Stadt Wolfsburg kümmert sich besser um die Autos als die Menschen.";vor 2 Jahren;1;6
Klinikum Wolfsburg in Wolfsburg;Sehr schlichte Klinikum Wolfsburg lieber zu Hause sterben aber gehe ich nicht ins krankenhaus Wolfsburg Sorry;vor 2 Jahren;1;3
Klinikum Wolfsburg in Wolfsburg;Sehr schlecht nasenoperation bei Professor Omid majdani;vor einem Jahr;1;4
Klinikum Wolfsburg in Wolfsburg;"Habe meine 2Kinder dort entbunden.
War sehr zufrieden, bis auf 1-2Krankenschwestern..sehr unfreundlich.
Der Rest war super!!!
Die Hebammen die ich im Kreissaal kennenlernte, waren auch ganz ok..bis auf eine..ziemlich grob und u überhaupt nicht einfühlsam. Nimmt einen nicht ernst.";vor 3 Jahren;3;Keine
Klinikum Wolfsburg in Wolfsburg;Ich hatte eine schöne Geburt in dieser Klinik, die ich in Italien nicht mag;vor einem Jahr;5;1
Klinikum Wolfsburg in Wolfsburg;Viel zu lange Wartezeit und unfreundlicher Umgang mit Patienten!!!;vor 2 Jahren;1;5
