Klinik;Nutzername;Local Guide;Anzahl geschriebener Rezensionen;Erfahrungsbericht;Sterne;Datum der Rezension;Likes;Antwort;Datum der Antwort;URL;Extraktionsdatum
Evangelisches Krankenhaus Oldenburg  ;Birte Erntner;Nein;1 Rezension;Kein Text; 5 Sterne ;vor 9 Monaten;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Silke Ecks;Nein;6 Rezensionen;"War Juli 2020 in der HNO, terminiert, Trommelfellersatz.
Musste sehr früh kommen, wurde umgehend operiert, soweit hat alles bestens geklappt. Ging so schnell, dass ich mich kaum umziehen konnte...
Sehr nette ÄrztInnen und PflegerInnen, Essen sehr gut, liegt prima nahe an der Innenstadt.
Hübsches, gemütliches Krankenhaus.
Parkplatzlage MISERABEL, im PH am Waffenplatz kann man mit Parkkarte viel Geld sparen. Ist nicht weit, aber es gibt wochentags n Shuttle.
Super Beratung und Information über OP, haben sich alle richtig viel Zeit genommen und alles genau erklärt.
Mein besonderer Dank an Oberärztin Dr. Löwenthal!
Ich fand es toll, hoffe, es geht nun gut weiter mit meinem Ohr."; 5 Sterne ;vor 10 Monaten;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Ayla Schulz;Nein;7 Rezensionen;Inkompetent und unfassbar unfreundlich. Nie wieder!; 1 Stern ;vor 10 Monaten;6;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Barus Varg;Nein;2 Rezensionen;Sehr unfreundliche Empfangsdame; 2 Sterne ;vor 10 Monaten;3;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Olaf Schröder;Nein;2 Rezensionen;"Top Krankenhaus.
Hier wird sich herzlich gekümmert und von allen Seiten mit höchster Professionalität alles für den Patienten getan. Weit über das normale Maß hinaus."; 5 Sterne ;vor 10 Monaten;3;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Sylvia Stumpf;Nein;12 Rezensionen;Kein Text; 5 Sterne ;vor 10 Monaten;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Albulena Krasniqi;Nein;6 Rezensionen;"Einfach nur unmöglich!!!
Nasenbeinfraktur OP gehabt -  nach  einem Tag ist der Gips fast abgefallen also angerufen und ich sollte vorbei kommen! Während des Wartens ist der Gips abgefallen und schmerzen gehabt! Seit einer Stunde kein Lebenszeichen! Keine Behandlung nichts!"; 1 Stern ;vor 11 Monaten;4;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Christian Specht;Nein;9 Rezensionen;Leider muss man in der Notaufnahme warten, bis einer vorbeikommt damit man zum Klo kann den schalter bekommt man nicht. Zudem wollten die mich ein CT machen, da haben die sich den falschen Patienten gegriffen mit Anaphylacktischer Schock is das eigentlich nicht nötig.; 2 Sterne ;vor 11 Monaten;4;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Lucy Ina;Nein;21 Rezensionen;"In der Notaufnahme wartete ich stundelang und es wurden nicht betroffenen Bereiche untersucht, die erhebliche Beschwerden machten. Deshalb bin ich ja in die Notaufnahme eingewiesen worden.
Bei Fragen der Krankenschwestern, wurde zum größten Teils abweisend und sehr unfreundlich geantwortet. Dazu noch ein grober Umgang, der Fiebertermometer wurde einem ins Ohr extrem gedrückt, dann wird einem noch gesagt, dass man sich nicht weg halten soll.
Später wurde einem noch das Bett genommen, um es jemanden anderen zu geben. In der Toilette waren überall Blutspuren gewesen."; 1 Stern ;vor 11 Monaten;5;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Nicole Felthaus;Ja;23 Rezensionen;Man wird um acht Uhr zum CT bestellt und dann steht man da und wartet und wartet und dann stellt sich raus das die mich gar nicht angemeldet haben und dann wird man von pontius nach. Pilatus geschickt. Und dann immer wieder warten bis zu 2 Std. Kann doch echt nicht wahr sein; 1 Stern ;vor 11 Monaten;4;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Nachtfalke;Nein;11 Rezensionen;Auch wenn ich es vorher nicht erwartet habe - betreffend der Notaufnahme braucht man wirklich Gottes Segen wenn man dieses Krankenhaus in einem besseren Zustand verlassen möchte als man es betreten hat.; 1 Stern ;vor 11 Monaten;5;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Mama Muh;Ja;42 Rezensionen;Kein Text; 1 Stern ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Xaas Xaas;Nein;1 Rezension;"Die haben bei meiner Freundin insgesamt 4 mal die Visite vergessen und dann mit dem Spruch ich habe keine lust sie jetzt noch in meine Planung zu stecken ist das letzte.
Aber die Schwestern und Pflegekräfte sind top die Ärzte der letzte Müll."; 1 Stern ;vor einem Jahr;9;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Monika Cordes;Nein;3 Rezensionen;"War das zweite Mal in der HNOabteilung
kann ich nur empfehlen sehr nettes Pflegepersonal und prima Ärzte."; 5 Sterne ;vor einem Jahr;1;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;ange gr;Nein;2 Rezensionen;Kein Text; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Sigrid Haaken;Nein;3 Rezensionen;"Ich lag vom 25.02.2020 bis heute 06.03.2020 auf der Station 15  im EV. Kann nur sagen, supernette Ärzte , Schwestern und Pfleger! Nicht zu vergessen auch die Putzfrau und die Damen, die Essen austeilen . Ich habe mich sehr wohl dort gefühlt. Liebe Grüße und nochmal ein fettes ""Dankeschön"" an das gesamte Team."; 5 Sterne ;vor einem Jahr;2;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Ria Runge;Nein;61 Rezensionen;Meine Mutter lag vier Wochen auf Station 14.Sie wurde von allen hervorragend betreut. Ganz lieben Dank an alle Ärzte und Pflegerinnen und Pfleger. Danke; 5 Sterne ;vor einem Jahr;3;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Sabine Schröder-Lotenes;Nein;5 Rezensionen;Kein Text; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Constantin Adrian;Ja;18 Rezensionen;👎; 1 Stern ;vor einem Jahr;4;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Schoko Mail;Nein;1 Rezension;Ich habe bei EV entbunden! Super Team und tolle Ärzte!; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Kristian U;Ja;6 Rezensionen;Kein Text; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;AMG AMG;Nein;20 Rezensionen;Zu klein bzw. zu kleine Toiletten und die noch stinken wie in Raststätten und dazu die Blonde in der Information arbeitet immer schlecht gelaunt ist und die Cafeteria da sag ich mal garnicht 👎🏽👎🏽👎🏽👎🏽👎🏽; 1 Stern ;vor einem Jahr;8;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Torben;Nein;6 Rezensionen;Ein hervorragendes Krankenhaus. Das freundliche Auftreten der Schwestern und Ärzte überzeugte und in allen Punkten. Hygiene wird hier ebenfalls ganz groß geschrieben.; 5 Sterne ;vor einem Jahr;2;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Klaus Mittasch;Ja;179 Rezensionen;Einfach nur gut. 🍀; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Katie Howard;Ja;48 Rezensionen;"(Übersetzt von Google) Als Amerikaner, der kürzlich hierher gezogen ist, habe ich mir große Sorgen um meine kleine Operation im Krankhaus gemacht. Jeder dort war freundlich, professionell und hat es mir sehr bequem gemacht. Sie änderten sogar meinen Termin für mich, als ich krank wurde, ohne schlechte Einstellungen. Dies ist mehr als ich für andere Krankenhäuser sagen kann. Ich habe ziemlich gute Deutschkenntnisse, was hilft, aber unabhängig davon, dass ich der Meinung bin, dass dies ein großartiger Ort für die Gesundheitsfürsorge ist und ich würde wiederkommen. Besonderer Dank geht an Dr. A. Schröder, der sich so gut um meine Operation gekümmert hat, und sein Narcöse-Team waren auch so großartig.

(Original)
As an American who recently moved here, I was very worried about my small operation at the krankhaus.  Every person there was friendly, professional, and made me very comfortable.  They even changed my appointment for me when I became sick, without any bad attitudes.  This is more than i can say for other hospitals.  I do have fairly good German,  which helps, but regardless I feel this is a great place to go for healthcare and I would return.  Special thanks to Dr. Med. A. Schröder for taking such good care of my operation and his Narcöse team was so great, too."; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Adolf Ghoobril;Nein;1 Rezension;10 von 10; 1 Stern ;vor einem Jahr;4;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Marion K;Ja;32 Rezensionen;Kein Text; 2 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;D. Kersten;Nein;16 Rezensionen;Kein Text; 4 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Anita Rud;Ja;76 Rezensionen;"Beim besten Willen nicht nochmal!

Im Allgemeinen kann die Parkplatzsituation nur als katastrophal bezeichnet werden, sowohl für Patienten wie auch Anwohner. Da ist allerdings nicht die Klinik verantwortlich, sondern die Stadtverwaltung. Stadtplanung läuft da unter sehr fraglichen Gesichtspunkten.

Zur Geburtshilfe:
Das Familien- oder Einzelzimmer lohnen der bloßen Erwähnung gar nicht. Vergleichbar mit einem Lottogewinn oder der Ausnahme von der Ausnahme. So hoch ist die Wahrscheinlichkeit, dass man eines davon von innen sieht. Und wenn man ein Einzelzimmer mit Zustellbett für den Partner bekommt, kann das am nächsten Tag schon wieder geändert werden! Nachvollziehbar aufgrund des enormen Andrang Schwangere, aber auch absolut unbefriedigend mit frischem Nachwuchs und Bedürfnis nach Ruhe.
Duschen und WC auf den Fluren sind gewöhnungsbedürftig, aber praktikabel. Bewegung tut ja gut.

Die Schwestern und Hebammen sind alle sehr freundlich und bemühen sich redlich. Hut ab bei dem Durchlauf!
Den Chefarzt habe ich nur auf dem Info-Abend erlebt. Sein Fokus lag auf Zahlen und Statistiken, und damit zu weit weg von der tatsächlichen Geburt. Auch nachvollziehbar aufgrund des Postens, es wirkte jedoch am Info-Abend fehl am Platz zwischen praktischen Geburtshelfern und werdenden Müttern.

Der Leitende Oberarzt Dr. Heine ist das krasse Gegenteil. Total freundlich, empathisch und bestimmt Spitze auf seinem Gebiet. Wer ihm begegnet, wird sich sofort gut aufgehoben fühlen!
Nützt bloß nichts, wenn man ihn nur zur Vorbesprechung sieht. Er sagt zwar, er spricht dies und das ab mit dem operierendem Arzt, aber da kommt nix an.

Nun zum Speziellen:
Beim 1. Mal wurde viel zu lange mit dem KS gewartet, sodass es dem Baby nach der Geburt entsprechend schlecht ging. Schade, wenn die Hebamme glaubt, man würde sich nur so anstellen. ""Ja, das tut eben weh und ist nicht schön. Da muss man durch. Haben andere auch geschafft."" Nein, muss man nicht. Zudem schlecht vernäht, was später chirurgisch korrigiert werden musste.

Beim 2. Mal nicht erkannt, dass die Naht bereits 1 Tag nach Geburt wieder aufgerissen ist. Und das obwohl ich mehrmals eindeutige Beschwerden beschrieben hatte und der Bauch sich bereits einseitig vorwölbte. Von Dr. Meyersieck, der mich auch operiert hatte, wurde mir mehrfach gesagt, er sieht da nix und das sei ganz normal! Das würde sich von selbst zurückbilden!
Da man mir nicht weiterhelfen konnte, habe ich die Entlassung am 3. Tag gewählt.
Ein Chirurg in Hannover stellte die Hernie kurz darauf bereits mit bloßem Auge fest. Sie konnte ohne bildgebende Verfahren einfach ertastet werden. Dauerte keine 5 Minuten! Auch hier musste chirurgisch korrigiert werden.

Erfahrung mit der Notaufnahme:
Der Arzt in der Notaufnahme ließ mich eine Freiwilligenerklärung für eine Orthese fürs Sprunggelenk unterschreiben, ohne die ich die Klinik gar nicht hätte verlassen können. Im Anschluss weigerte sich die Krankenkasse die Orthese zu bezahlen, da ich mich ja FREIWILLIG dazu entschieden hätte.

Fazit: Aufgrund der Rennereien, die ich nach jeder Behandlung im EV hatte, kann ich vom Besuch nur abraten. Freundliches Personal trifft man auch anderswo."; 1 Stern ;vor einem Jahr;14;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Jan Schoenmakers;Nein;28 Rezensionen;Einfach nur perfekt - fachlich, menschlich, räumlich. Besser kann eine Geburt nicht betreut werden!; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;mornithryn;Nein;1 Rezension;"""Ich komme gleich wieder."", sagte die Schwester und wart nie mehr gesehen. Und so auch nicht der Oberarzt.
10/10"; 5 Sterne ;vor einem Jahr;3;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Cl LIEDTKE;Ja;39 Rezensionen;"Warum darf man im Eingangsbereich eines Krankenhauses rauchen. ?
Man kommt nicht rein ohne mehrere Züge nehmen zu müssen!!!"; 1 Stern ;vor einem Jahr;11;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Susan Fan;Nein;6 Rezensionen;Heute ist ein Sonntag, Aber es gibt HNO Arzt hier!! Ich freue mich so sehr.; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Privat;Nein;14 Rezensionen;Ich habe mich hier gut aufgehoben gefühlt; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Maria;Nein;7 Rezensionen;Bin aktuell nach zirkulärem bodylift bei Dr. Jandali auf Station 15. Ein super freundliches Team, die versuchen nach bestem ermessen jeden Wunsch zu erfüllen, nehmen sich Zeit und sind alle total lieb. Das Essen schmeckt super, man kann sich nicht beschweren.; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Romsdal Fiskeferie;Nein;4 Rezensionen;"Niemals Evangelisches Krankenhaus. Auf die Frage hin ob man 1 Handtuch bekommen könnte : ""haben wir nicht, das muss so trocknen"". Der Badezimmerboden dick voll Staub. Nach Aussage der Patienten wird sehr wenig saubergemacht."; 1 Stern ;vor einem Jahr;10;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Karlheinz Voege;Nein;4 Rezensionen;Wir bedanken uns für die kompetente Hilfe und die freundliche Unterstützung auch im Namen aller Angehörigen in der Station 17( tolle Schwestern und super Arzt). Vielen Dank; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;shahram n;Nein;5 Rezensionen;Dr. Raffael Hinder ist sehr freundlich und zuvorkommend - hört dem Patienten zu ! Er gehört in HNO Kategorie zu den TOP5 !; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Günter Fiedler;Nein;1 Rezension;Kein Text; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Privat;Nein;3 Rezensionen;Sehr tolles, engagiertes, professionelles Team in der Unfallchirurgie. Station 14 ist sehr zu empfehlen. Habe mich in meinem 14 Tagen Aufenthalt sehr wohl gefühlt. Ein grosses Lob und Dankeschön an alle!; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
Evangelisches Krankenhaus Oldenburg  ;Tolga Caner;Nein;9 Rezensionen;Kein Text; 5 Sterne ;vor einem Jahr;0;Keine Antwort;Kein Datum;https://www.google.com/maps/place/Evangelisches+Krankenhaus+Oldenburg/@53.1426197,8.2050652,15z/data=!4m2!3m1!1s0x0:0xe7bc8f478b785564?sa=X&ved=2ahUKEwjBrLKc9PDuAhWOOewKHdvEAtEQ_BIwFnoECCYQBQ;1062021
